Reference,Qty per node,Category,Item,Manufacturer,Manufacturer Part Number,Mouser Number,Outsourced PCBA,Notes
"PCB1","1","Fabricated PCB","CrowdAware Node Rev 1.1 carrier","Custom","Rev 1.1","","Bare-board fabrication","Manufacture only after KiCad ERC/DRC and Gerber review"
"C1","1","Capacitor","100 nF 50 V X7R 1206 10%","KEMET","C1206C104K5RAC","80-C1206C104K5RAC","Yes - SMT","MLX90640 local decoupling"
"C2","1","Capacitor","10 uF 10 V X5R 1206 10%","KEMET","C1206C106K8PACTU","80-C1206C106K8P","Yes - SMT","MLX90640 bulk decoupling"
"R1,R2","2","Resistor","1 kOhm 0603 5%","YAGEO","SR0603JR-7T1KL","603-SR0603JR-7T1KL","Yes - SMT","SCL and SDA pull-ups to V_EXT"
"A1","1","Thermal sensor","32x24 array; 110x75 degree FOV; tube pack","Melexis","MLX90640ESF-BAA-000-TU","482-MLX90640ESFBAATU","No - manual THT","Install last and verify pin 1"
"J1","2","Socket strip","1x18 straight female socket; 2.54 mm pitch","Samtec","SSW-118-01-G-S","200-SSW11801GS","No - manual THT","KiCad designator J1 represents both strips"
"MOD1","1","Controller/radio module","WiFi LoRa 32 V3","Heltec Automation","Frequency variant to be confirmed","","No - plug in","Absent from carrier-board BOM by design"
"ANT1","1","Antenna","LoRa antenna and matching IPEX/u.FL lead if required","To be confirmed","Match MOD1 frequency variant","","No - attach separately","Connect before transmitting"
"BAT1","0 or 1","Battery","Protected 1-cell Li-ion/LiPo pack","To be confirmed","Confirm connector and polarity","","No - attach separately","Optional; begin testing from USB"
"ENC1","1","Mechanical","Custom enclosure with unobstructed thermal aperture","Custom","To be designed","","No","Ordinary plastic or glass must not cover the sensor FOV"
"H1-H4","4","Mechanical","M3 standoffs and fasteners","To be confirmed","Length depends on enclosure","","No","Non-conductive standoffs are convenient for prototypes"
